Name,Color,Brand,Finish,Form,palette_id
Tempera,#F2D8CD,Anastasia Beverly Hills,Matte,Powder,1
Golden Ochre,#D8C099,Anastasia Beverly Hills,Matte,Powder,1
Vermeer,#F0DEDD,Anastasia Beverly Hills,Metallic,Powder,1
Buon Fresco,#C6A7A6,Anastasia Beverly Hills,Matte,Powder,1
Antique Bronze,#5B3D35,Anastasia Beverly Hills,Metallic,Powder,1
Love Letter,#AB505F,Anastasia Beverly Hills,Matte,Powder,1
Cyprus Umber,#4A3733,Anastasia Beverly Hills,Matte,Powder,1
Raw Sienna,#A75E3A,Anastasia Beverly Hills,Matte,Powder,1
Burnt Orange,#A35325,Anastasia Beverly Hills,Matte,Powder,1
Primavera,#F6DFCF,Anastasia Beverly Hills,Metallic,Powder,1
Red Ochre,#8E3932,Anastasia Beverly Hills,Matte,Powder,1
Venetian Red,#8A3833,Anastasia Beverly Hills,Matte,Powder,1
Warm Taupe,#90796E,Anastasia Beverly Hills,Matte,Powder,1
Realgar,#AD392F,Anastasia Beverly Hills,Matte,Powder,1
