Name,Color,Brand,Finish,Form,palette_id,single
Tempera,#fbd6c2,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Golden Ochre,#D8C099,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Vermeer,#F0DEDD,Anastasia Beverly Hills,Metallic,Powder,1,FALSE
Buon Fresco,#C6A7A6,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Antique Bronze,#5B3D35,Anastasia Beverly Hills,Metallic,Powder,1,FALSE
Love Letter,#AB505F,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Cyprus Umber,#4A3733,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Raw Sienna,#A75E3A,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Burnt Orange,#A35325,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Primavera,#F6DFCF,Anastasia Beverly Hills,Metallic,Powder,1,FALSE
Red Ochre,#8E3932,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Venetian Red,#8A3833,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Warm Taupe,#90796E,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Realgar,#AD392F,Anastasia Beverly Hills,Matte,Powder,1,FALSE
Tempera,#fbd6c2,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Glistening,#e5bb98,Anastasia Beverly Hills,Metallic,Powder,2,FALSE
Orange Soda,#feb57f,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Rose Pink,#d4999a,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Sultry,#F3D8D1,Anastasia Beverly Hills,Metallic,Powder,2,FALSE
Bronze,#fceba9,Anastasia Beverly Hills,Metallic,Powder,2,FALSE
Mulberry,#783d3f,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Dusty Rose,#8e666d,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Fairy,#d8c08e,Anastasia Beverly Hills,Metallic,Powder,2,FALSE
Burnt Orange,#bf8063,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Sienna,#92554a,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Rustic,#97654d,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Cyprus Umber,#66473e,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Noir,#312d2c,Anastasia Beverly Hills,Matte,Powder,2,FALSE
Quartz,#e9ad9c,Huda Beauty,Metallic,Powder,3,FALSE
Aura,#b8908e,Huda Beauty,Matte,Powder,3,FALSE
Gratitude,#d3c0dd,Huda Beauty,Matte,Powder,3,FALSE
Cosmic Love,#9e817f,Huda Beauty,Metallic,Powder,3,FALSE
Empowered,#c4949b,Huda Beauty,Metallic,Powder,3,FALSE
Joy,#5b464a,Huda Beauty,Metallic,Powder,3,FALSE
Precious,#d394a3,Huda Beauty,Matte,Powder,3,FALSE
Energized,#c0b099,Huda Beauty,Metallic,Powder,3,FALSE
Love Stone,#eabbc5,Huda Beauty,Metallic,Cream,3,FALSE
Cherished,#c7bbbf,Huda Beauty,Matte,Powder,3,FALSE
Blissful,#e0bfaa,Huda Beauty,Metallic,Powder,3,FALSE
Happiness,#8d6c6c,Huda Beauty,Matte,Powder,3,FALSE
Mantra,#e99ea9,Huda Beauty,Matte,Powder,3,FALSE
Serenity,#4f3e51,Huda Beauty,Matte,Powder,3,FALSE
Abundance,#c9d2eb,Huda Beauty,Metallic,Powder,3,FALSE
Moon Magic,#b97d7a,Huda Beauty,Metallic,Powder,3,FALSE
Radiate,#875957,Huda Beauty,Matte,Powder,3,FALSE
Self Love,#e9ad9c,Huda Beauty,Metallic,Powder,3,FALSE
